Date Time,NO (Invitado1),NO2 (Invitado1),NOx (Invitado1)
07/17/26 01:49,33.125,154.032,187.157
07/17/26 01:50,33.2,154,187.2
07/17/26 01:51,33.225,153.892,187.117
07/17/26 01:52,33.3,153.642,186.908
07/17/26 01:53,33.325,153.673,187.032
07/17/26 01:54,33.308,153.875,187.183
07/17/26 01:55,33.325,153.958,187.283
07/17/26 01:56,33.4,154.083,187.425
07/17/26 01:57,33.425,154.167,187.568
07/17/26 01:58,33.558,154.35,187.908
07/17/26 01:59,33.677,154.425,188.135
07/17/26 02:00,33.667,154.592,188.258
07/17/26 02:01,33.725,154.523,188.267
07/17/26 02:02,33.8,154.382,188.182
07/17/26 02:03,34.062,153.775,187.837
07/17/26 02:04,36.608,151.1,187.675
07/17/26 02:05,40.74,146.873,187.58
07/17/26 02:06,45.342,142.142,187.517
07/17/26 02:07,49.997,137.468,187.453
07/17/26 02:08,54.95,132.583,187.525
07/17/26 02:09,59.465,128.328,187.813
07/17/26 02:10,63.575,124.35,187.925
07/17/26 02:11,65.16,122.787,187.98
07/17/26 02:12,65.358,122.667,188.05
07/17/26 02:13,65.483,122.763,188.295
07/17/26 02:14,65.6,122.867,188.442
07/17/26 02:15,65.575,123.007,188.582
07/17/26 02:16,65.592,123.15,188.717
07/17/26 02:17,65.575,123.345,188.898
07/17/26 02:18,65.558,123.375,188.908
07/17/26 02:19,65.517,123.222,188.742
07/17/26 02:20,65.342,123.325,188.617
07/17/26 02:21,65.222,123.292,188.525
07/17/26 02:22,65.133,123.417,188.55
07/17/26 02:23,65.175,122.985,188.107
07/17/26 02:24,65.008,123.025,188.033
07/17/26 02:25,64.922,123.05,187.972
07/17/26 02:26,64.808,123.175,188.042
07/17/26 02:27,64.775,123.185,187.95
07/17/26 02:28,64.642,123.075,187.717
07/17/26 02:29,64.498,123.077,187.575
07/17/26 02:30,64.375,123.108,187.508
07/17/26 02:31,64.353,123.025,187.4
07/17/26 02:32,64.242,123.075,187.292
07/17/26 02:33,64.225,122.888,187.067
07/17/26 02:34,64.3,122.867,187.158
